eps_p,s_p,fitness,ghost_count,mu36
0.400,0.000,1.0024,1,9.6047
0.410,0.000,1.4925,1,9.4625
0.420,0.000,2.6805,1,9.3285
0.430,0.000,2.1641,1,9.2019
0.440,0.000,1.1107,1,9.0823
0.450,0.000,1.1504,1,8.9691
0.460,0.000,1.7450,1,8.8619
0.470,0.000,1.6780,1,8.7603
0.480,0.000,1.5365,1,8.6639
0.490,0.000,2.2448,1,8.5723
0.500,0.000,2.3445,1,8.4853
0.510,0.000,1.7420,1,8.4025
0.520,0.000,1.2033,1,8.3237
0.530,0.000,1.0820,1,8.2486
0.540,0.000,1.2535,1,8.1771
0.550,0.000,1.4207,1,8.1088
0.560,0.000,1.6140,0,8.0436
0.570,0.000,2.1274,0,7.9813
0.580,0.000,3.0328,0,7.9217
0.590,0.000,3.8478,0,7.8648
0.600,0.000,3.5948,0,7.8102
0.610,0.000,2.8179,0,7.7580
0.620,0.000,2.0631,0,7.7080
0.630,0.000,1.7221,0,7.6600
0.640,0.000,1.6282,0,7.6140
0.650,0.000,1.5366,0,7.5698
0.660,0.000,1.6373,0,7.5274
0.670,0.000,2.1591,0,7.4866
0.680,0.000,2.5204,0,7.4474
0.690,0.000,2.3284,0,7.4097
0.700,0.000,2.2248,0,7.3734
0.710,0.000,2.4945,0,7.3385
0.720,0.000,2.5499,0,7.3049
0.730,0.000,2.4126,0,7.2725
0.740,0.000,2.4956,0,7.2412
0.750,0.000,2.6479,0,7.2111
0.760,0.000,2.7944,0,7.1820
0.770,0.000,3.1411,0,7.1540
0.780,0.000,3.3584,0,7.1269
0.790,0.000,3.3240,0,7.1008
0.800,0.000,3.2907,0,7.0755
0.810,0.000,3.2583,0,7.0511
0.820,0.000,3.1449,0,7.0274
0.830,0.000,2.9666,0,7.0046
0.840,0.000,3.1229,0,6.9825
0.850,0.000,3.4566,0,6.9611
0.860,0.000,3.7603,0,6.9404
0.870,0.000,4.0380,0,6.9203
0.880,0.000,4.3098,0,6.9009
0.890,0.000,4.4480,0,6.8820
0.900,0.000,4.3550,0,6.8638
0.910,0.000,4.0969,0,6.8460
0.920,0.000,3.8341,0,6.8289
0.930,0.000,3.5864,0,6.8122
0.940,0.000,3.4640,0,6.7960
0.950,0.000,3.1818,0,6.7803
0.960,0.000,3.1070,0,6.7650
0.970,0.000,2.9519,0,6.7502
0.980,0.000,2.7814,0,6.7358
0.990,0.000,3.0268,0,6.7218
1.000,0.000,3.3653,0,6.7082
1.010,0.000,3.5773,0,6.6950
1.020,0.000,3.5216,0,6.6821
1.030,0.000,3.2435,0,6.6696
1.040,0.000,2.7943,0,6.6574
1.050,0.000,2.3517,0,6.6455
1.060,0.000,2.1798,0,6.6340
1.070,0.000,2.1238,0,6.6228
1.080,0.000,2.0690,0,6.6118
1.090,0.000,2.0154,0,6.6011
1.100,0.000,1.9630,0,6.5908
1.110,0.000,1.9117,0,6.5806
1.120,0.000,1.8615,0,6.5707
1.130,0.000,1.8124,0,6.5611
1.140,0.000,1.7768,0,6.5517
1.150,0.000,1.7983,0,6.5426
1.160,0.000,1.8194,0,6.5336
1.170,0.000,1.9421,0,6.5249
1.180,0.000,2.0777,0,6.5164
1.190,0.000,2.2108,0,6.5081
1.200,0.000,2.3486,0,6.5000
0.400,0.010,1.1530,1,9.5860
0.410,0.010,1.7707,1,9.4435
0.420,0.010,2.8052,1,9.3092
0.430,0.010,2.0326,1,9.1824
0.440,0.010,1.0841,1,9.0625
0.450,0.010,1.2605,1,8.9490
0.460,0.010,1.8591,1,8.8416
0.470,0.010,1.5599,1,8.7398
0.480,0.010,1.5371,1,8.6431
0.490,0.010,2.1049,1,8.5513
0.500,0.010,2.0919,1,8.4641
0.510,0.010,1.8251,1,8.3811
0.520,0.010,1.4813,1,8.3021
0.530,0.010,1.3296,1,8.2268
0.540,0.010,1.5055,1,8.1551
0.550,0.010,1.6771,1,8.0866
0.560,0.010,1.8918,0,8.0212
0.570,0.010,2.6372,0,7.9588
0.580,0.010,3.3533,0,7.8990
0.590,0.010,4.0410,0,7.8419
0.600,0.010,3.2965,0,7.7872
0.610,0.010,2.5129,0,7.7349
0.620,0.010,1.8239,0,7.6847
0.630,0.010,1.7186,0,7.6365
0.640,0.010,1.6240,0,7.5904
0.650,0.010,1.5317,0,7.5460
0.660,0.010,1.4954,0,7.5035
0.670,0.010,2.0173,0,7.4626
0.680,0.010,2.6718,0,7.4232
0.690,0.010,2.5108,0,7.3854
0.700,0.010,2.3218,0,7.3490
0.710,0.010,2.5172,0,7.3140
0.720,0.010,2.6331,0,7.2802
0.730,0.010,3.1277,0,7.2477
0.740,0.010,3.3144,0,7.2164
0.750,0.010,3.4747,0,7.1862
0.760,0.010,3.6289,0,7.1570
0.770,0.010,3.6785,0,7.1289
0.780,0.010,3.5503,0,7.1017
0.790,0.010,3.5768,0,7.0754
0.800,0.010,3.4273,0,7.0501
0.810,0.010,3.4210,0,7.0255
0.820,0.010,3.2373,0,7.0018
0.830,0.010,3.3129,0,6.9789
0.840,0.010,3.6076,0,6.9567
0.850,0.010,3.9127,0,6.9352
0.860,0.010,4.2004,0,6.9145
0.870,0.010,4.4821,0,6.8943
0.880,0.010,4.7579,0,6.8748
0.890,0.010,4.8164,0,6.8559
0.900,0.010,4.5542,0,6.8375
0.910,0.010,4.5506,0,6.8198
0.920,0.010,4.1799,0,6.8025
0.930,0.010,3.8299,0,6.7858
0.940,0.010,3.5887,0,6.7695
0.950,0.010,3.3525,0,6.7538
0.960,0.010,3.0521,0,6.7384
0.970,0.010,2.7157,0,6.7236
0.980,0.010,2.5987,0,6.7091
0.990,0.010,2.7428,0,6.6950
1.000,0.010,3.0813,0,6.6814
1.010,0.010,3.4929,0,6.6681
1.020,0.010,3.4365,0,6.6552
1.030,0.010,3.3815,0,6.6426
1.040,0.010,2.9159,0,6.6304
1.050,0.010,2.4718,0,6.6185
1.060,0.010,2.0956,0,6.6069
1.070,0.010,2.0389,0,6.5956
1.080,0.010,1.9835,0,6.5846
1.090,0.010,1.9293,0,6.5739
1.100,0.010,1.8762,0,6.5635
1.110,0.010,1.8251,0,6.5533
1.120,0.010,1.8486,0,6.5434
1.130,0.010,1.8716,0,6.5337
1.140,0.010,1.8940,0,6.5243
1.150,0.010,1.9159,0,6.5151
1.160,0.010,1.9991,0,6.5061
1.170,0.010,2.1390,0,6.4973
1.180,0.010,2.2762,0,6.4888
1.190,0.010,2.4447,0,6.4805
1.200,0.010,2.6100,0,6.4723
0.400,0.020,1.3276,1,9.5673
0.410,0.020,2.0494,1,9.4246
0.420,0.020,2.9269,1,9.2900
